type,flight_id,airline,flight_number,departure_airport,departure_city,arrival_airport,arrival_city,departure_datetime,arrival_datetime,ticket_price,flight_class,total_available_seats,hotel_id,name,street,city,state,zip,country,latitude,longitude,star_rating,price_per_night,wifi,breakfast_included,parking,pet_friendly,near_transit,number_of_rooms,hotel_rating,hotel_image1,hotel_image2,car_id,company,make,model,vehicle_type,year,pickup_address,pickup_city,pickup_country,pickup_lat,pickup_lng,dropoff_address,dropoff_city,dropoff_country,dropoff_lat,dropoff_lng,price_per_day,available,pickup_date,dropoff_date,car_image1,car_image2
flight,FL00023,Hayes LLC,O913,SEA,Oconnellville,LAX,East Shannonton,2025-12-08T10:33:35,2026-01-16T21:07:59,348.67,Economy,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00024,Stevens-Smith,V382,ORD,Cortezstad,DFW,East Melvin,2025-12-06T09:45:21,2026-01-22T10:27:38,505.15,Economy,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00025,"Mcmahon, Harvey and Cordova",N375,DFW,Brewerhaven,SEA,Jenkinsland,2025-12-26T23:38:07,2026-01-28T04:26:01,493.07,Economy,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00026,Carr-Pham,F174,SFO,Lake Sarahfurt,JFK,New Edwin,2025-12-10T13:58:54,2026-01-06T22:38:56,424.86,Business,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00027,Anderson Ltd,H64,JFK,Port Angela,JFK,East Amber,2025-12-22T15:44:57,2026-01-07T00:17:03,231.01,Economy,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00028,Wells Group,F846,SFO,Lake Gregory,SFO,Port Sherry,2025-12-23T18:45:18,2026-01-04T08:26:09,438.61,First,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00029,"Hill, Cohen and Davis",T556,SFO,Silvaport,SFO,North Victoria,2025-12-23T15:42:48,2026-01-25T13:38:01,450.58,Business,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00030,"Gutierrez, Taylor and Brown",O131,LAX,West Daisytown,LAX,East Kimberlymouth,2025-12-21T20:39:47,2026-01-22T13:27:32,228.98,Business,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00031,Yang Group,Z557,SEA,North Kevin,DFW,Kochport,2025-12-11T04:40:23,2026-01-18T11:07:33,194.76,First,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00032,Duran-Morgan,Y770,DFW,Port Rebeccaton,ORD,Gonzalezshire,2025-12-13T14:46:38,2026-01-21T16:56:39,495.12,First,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00033,Lopez-Berry,M890,JFK,Amandafurt,DFW,Cathyfort,2025-12-30T13:28:06,2026-01-12T09:47:04,400.23,Economy,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00034,Gentry-Rodriguez,I169,SEA,Parsonston,SEA,North Meagantown,2025-12-23T13:17:45,2026-01-25T09:42:29,599.07,Business,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00035,"Ramirez, Beard and Sparks",F583,LAX,Navarroside,ORD,East Tara,2025-12-26T01:43:23,2026-01-16T11:27:50,220.1,Business,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00036,Anderson LLC,M956,SFO,Nathanbury,LAX,Port Mistyborough,2025-12-31T06:38:05,2026-01-14T20:50:36,350.74,Business,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00037,Rollins LLC,H822,ORD,New Mary,SEA,Stewartchester,2025-12-08T07:15:32,2026-01-17T21:30:07,469.68,Economy,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00038,Rogers-Davis,W365,ORD,Christineville,DFW,West Johnport,2025-12-25T01:09:48,2026-01-02T03:24:00,114.91,First,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00039,"Moore, Ortiz and Torres",S371,LAX,Allenfurt,SFO,North Ashley,2025-12-16T01:56:31,2026-01-25T02:42:20,230.62,Business,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00040,Williams-Carter,R153,SEA,Margaretberg,DFW,Bradleyton,2025-12-24T17:59:47,2026-01-15T09:49:40,350.86,Economy,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00041,Smith-Woods,T587,SFO,South Courtneybury,JFK,West Ashley,2025-12-10T02:27:47,2026-01-15T02:11:20,315.42,Economy,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00042,"Peterson, Ryan and Hall",C51,DFW,New Christopher,DFW,East Robertview,2025-12-15T05:32:25,2026-01-22T03:35:33,260.68,Business,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00043,"Campbell, Jordan and Beltran",I281,LAX,Hartmanhaven,DFW,Caroltown,2025-12-08T11:36:44,2026-01-05T18:28:36,223.24,Economy,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00044,Wong-Reed,Z863,JFK,Lake Kristin,LAX,West Jillianview,2025-12-28T06:52:45,2026-01-16T22:56:57,384.28,Business,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00045,Torres-Johnson,A356,SEA,Murrayville,DFW,South Joshuachester,2025-12-17T14:02:49,2026-01-05T08:27:15,111.12,First,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00046,Nichols Inc,A725,SEA,Lake Ashley,SEA,East Michele,2025-12-08T04:37:50,2026-01-06T00:47:54,578.32,Economy,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00047,"Martinez, Sullivan and Vasquez",H4,LAX,Andersonton,ORD,North Fernandoberg,2025-12-15T03:23:12,2026-01-18T11:20:20,418.47,First,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00048,"Odom, Kennedy and Obrien",D691,JFK,Williamston,JFK,West Claireport,2025-12-14T02:28:01,2026-01-26T05:40:02,165.59,First,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00049,Ellis Ltd,N918,SEA,Sandrafurt,DFW,Lake Ashleyfort,2025-12-28T16:38:55,2026-01-06T07:06:22,392.85,First,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00050,Arnold-Higgins,H279,DFW,Kayleeburgh,SFO,Stanleyhaven,2025-12-12T15:36:55,2026-01-03T05:36:23,408.7,Economy,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00051,"Summers, Oliver and Ross",E642,DFW,Danielmouth,ORD,Lake Garyton,2025-12-20T18:03:35,2026-01-19T15:21:02,384.94,Business,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00052,Barton and Sons,W948,SEA,Samanthamouth,JFK,Ericaview,2025-12-13T11:20:20,2026-01-24T13:27:38,453.51,Business,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00053,"Nguyen, Mcclure and Cline",A452,SEA,Cherryfort,JFK,Port Kiaraburgh,2025-12-27T01:01:07,2026-01-05T02:07:34,549.66,First,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00054,Barnes-Leach,N920,DFW,West Robertbury,SEA,Port Kevinbury,2025-12-11T18:58:50,2026-01-08T06:55:37,533.02,Business,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00055,Cox-Mitchell,F82,DFW,Lake Jennifer,JFK,Jeremiahburgh,2025-12-10T01:33:45,2026-01-25T20:23:56,379.17,Economy,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00056,Smith and Sons,O164,DFW,East Deborah,LAX,West Valerieview,2025-12-17T01:36:37,2026-01-21T13:01:53,334.92,Economy,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00057,Jones LLC,H719,LAX,South Chadside,SEA,New Stephanie,2025-12-21T18:34:42,2026-01-28T06:59:51,443.39,First,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00058,Young LLC,D988,JFK,Thomastown,SFO,Port Charlesville,2025-12-09T07:12:31,2026-01-17T22:47:53,171.06,Economy,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00059,"Peterson, Aguilar and Murphy",H437,SEA,Port Charlotte,SEA,West Jacobstad,2025-12-06T06:02:08,2026-01-27T12:27:26,271.28,First,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00060,Williams-Patrick,M431,DFW,South Dannyville,ORD,Lynchfurt,2025-12-25T16:23:43,2026-01-08T19:06:47,299.13,Business,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00061,Stephenson and Sons,A942,LAX,Rogersburgh,JFK,North Joseph,2025-12-13T21:16:46,2026-01-13T05:27:44,598.93,Business,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00062,"Jones, Blankenship and Brown",J200,JFK,Taylorville,ORD,Robertoton,2025-12-18T02:58:39,2026-01-20T16:43:10,137.54,Business,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00063,Phillips-Palmer,G549,LAX,Lake Joshua,JFK,East Joan,2025-12-03T11:21:00,2026-01-23T08:53:44,125.44,First,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00064,Smith-Scott,V707,ORD,Port Curtishaven,JFK,Douglasbury,2025-12-05T19:18:00,2026-01-15T03:49:17,319.39,First,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00065,"Hart, Duncan and Rodriguez",Y392,SEA,Bakermouth,DFW,East Jimmyborough,2025-12-09T19:21:51,2026-01-24T21:25:16,124.97,First,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00066,Thompson-Edwards,P864,DFW,Woodview,ORD,New Sandrafurt,2025-12-20T11:45:13,2026-01-26T05:57:05,429.94,Economy,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00067,Bonilla-Pope,Z974,DFW,Stewartfort,DFW,Munozmouth,2025-12-30T00:24:51,2026-01-05T06:48:47,80.47,Economy,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00068,"Hood, Garcia and Cross",M845,SFO,Brownton,SEA,South Cathy,2025-12-23T17:47:06,2026-01-15T12:01:31,470.7,Business,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00069,Lewis-Miller,T411,JFK,East Ericafurt,ORD,South Kelseyland,2025-12-03T15:58:30,2026-01-02T15:17:05,538.69,Business,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00070,"Rodgers, Sandoval and May",S648,SEA,Lake Charlesville,SFO,New Stephanie,2025-12-08T15:19:16,2026-01-17T10:19:43,250.29,Business,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00071,Stokes LLC,C419,SFO,Floresburgh,ORD,Richardland,2025-12-27T13:44:55,2026-01-23T13:42:46,400.3,Business,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00072,"Anderson, Thomas and Good",K794,JFK,Port Jake,JFK,New Tyler,2025-12-21T05:01:50,2026-01-13T09:56:01,253.39,Economy,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00073,"Price, Schroeder and Brown",F648,LAX,Theresamouth,SFO,Murphyside,2025-12-06T20:55:24,2026-01-23T18:44:34,518.18,Business,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00074,Valdez-Gross,G652,SEA,North Stevenmouth,ORD,Leahhaven,2025-12-25T20:30:26,2026-01-24T05:09:49,362.75,Economy,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00075,"Rogers, Cuevas and Jones",U356,LAX,Adamfurt,DFW,East Nathan,2025-12-03T12:04:12,2026-01-01T19:06:54,594.7,Economy,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00076,White-Hughes,E511,SFO,Timothyton,ORD,Hansonshire,2025-12-09T13:15:59,2026-01-11T23:01:35,551.61,Economy,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00077,Jordan and Sons,E687,SEA,Hebertchester,SFO,North Erin,2025-12-10T16:12:13,2026-01-04T22:53:01,304.73,First,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00078,Meadows Group,U206,SFO,Ericville,SEA,South Richardmouth,2025-12-10T02:38:45,2026-01-26T05:49:46,162.81,Business,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00079,"Sims, Gonzalez and Thomas",G595,ORD,North Deborah,JFK,Brownburgh,2025-12-08T02:13:57,2026-01-20T09:05:03,384.2,First,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00080,"Ramirez, Morris and Beck",Q52,ORD,Lauramouth,LAX,Amyville,2025-12-26T17:34:11,2026-01-24T21:53:03,406.49,First,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00081,Edwards Group,M602,ORD,Kathrynmouth,SEA,Lake Shane,2025-12-13T22:42:03,2026-01-17T00:20:00,282.58,Business,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00082,Rodriguez-Haynes,T898,SFO,West Kristahaven,DFW,Hernandezton,2025-12-13T02:02:49,2026-01-13T06:18:45,292.19,First,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00083,"Kennedy, Erickson and Davis",R644,LAX,Leslieview,LAX,Delacruzmouth,2025-12-28T20:42:58,2026-01-12T08:27:48,390.9,Business,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00084,Shelton-Butler,H180,JFK,North William,SFO,Lake Ryanchester,2025-12-31T05:26:58,2026-01-29T01:34:19,516.26,First,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00085,"Rose, Roman and Perez",Y949,JFK,Howehaven,ORD,Wilsonland,2025-12-29T01:40:44,2026-01-08T06:47:49,259.86,First,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00086,Gray Inc,L534,SFO,South Tammy,SEA,Andersonton,2025-12-08T02:38:06,2026-01-15T17:00:24,87.72,First,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00087,Meza PLC,P819,ORD,Griffithmouth,JFK,Harrisberg,2025-12-31T14:45:53,2026-01-02T06:09:57,195.92,First,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00088,Tapia-White,D11,LAX,East Mark,SEA,South Ronaldberg,2025-12-22T00:56:17,2026-01-16T21:01:55,482.79,First,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00089,Maxwell-Miller,R711,ORD,Port Patrickberg,SEA,Johnsonshire,2025-12-13T02:58:49,2026-01-22T04:59:09,447.74,First,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00090,Reese Group,L805,ORD,West Brucestad,LAX,New Thomasborough,2025-12-18T10:41:29,2026-01-05T23:03:24,84.24,First,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00091,Miller LLC,L408,SFO,Christopherview,ORD,North Ericafurt,2025-12-28T02:01:30,2026-01-06T10:40:11,252.59,Economy,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00092,Riley LLC,C195,LAX,Yolandashire,JFK,Harperhaven,2025-12-24T15:54:03,2026-01-11T02:18:02,383.14,First,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00093,Bell Inc,A536,SFO,North Michaelshire,SEA,Karenton,2025-12-14T14:55:22,2026-01-03T20:15:21,157.99,Business,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00094,Anderson and Sons,M504,SFO,East Tammymouth,JFK,Christinashire,2025-12-22T00:28:53,2026-01-15T01:49:38,119.2,Economy,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00095,"Hansen, Fuentes and Lynch",K529,ORD,Port Michaelaberg,JFK,Walkerport,2025-12-12T23:35:37,2026-01-12T20:54:23,457.6,Business,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00096,Phillips-Bauer,K737,DFW,Jacksonborough,ORD,Matthewside,2025-12-22T09:19:55,2026-01-22T06:51:32,587.56,Economy,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00097,Contreras LLC,X84,SEA,New Jeremy,ORD,Brianside,2025-12-13T23:07:34,2026-01-30T00:07:19,301.81,Business,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00098,Hull LLC,E190,JFK,Hernandeztown,LAX,Port Donaldside,2025-12-17T19:37:44,2026-01-25T02:06:13,147.92,Economy,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00099,"Carpenter, Williams and Martin",Q736,SFO,North Phillip,SEA,Lake Pamela,2025-12-26T08:46:47,2026-01-04T08:11:07,369.2,Economy,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00100,"Arnold, Smith and Gill",N311,LAX,Kellifort,JFK,Coxville,2025-12-12T00:27:32,2026-01-27T13:57:19,379.67,Economy,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00101,Mcdowell-Ritter,I417,DFW,Fullerfort,ORD,Ryanview,2025-12-29T08:26:39,2026-01-03T05:11:53,444.48,First,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00102,Hoffman Ltd,R635,SEA,North Toddville,JFK,Waterston,2025-12-10T08:14:38,2026-01-02T17:45:33,258.87,Economy,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00103,Esparza-Trevino,S600,ORD,Lisachester,SFO,New Christopher,2025-12-06T13:18:48,2026-01-21T17:57:20,394.5,Business,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00104,Roy Ltd,Q143,SFO,Dianashire,LAX,West Sarah,2025-12-11T14:06:19,2026-01-24T21:00:51,443.77,Business,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00105,Williams and Sons,U574,SFO,New Patricia,JFK,Port Nancyburgh,2025-12-14T22:56:51,2026-01-22T23:27:09,83.64,First,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00106,Pierce-Thompson,B771,SFO,East Sarah,ORD,Bellborough,2025-12-28T23:46:41,2026-01-01T22:55:24,540.91,Business,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00107,"Nguyen, Tucker and Lopez",M546,DFW,Tylermouth,DFW,Port Graceberg,2025-12-30T13:15:42,2026-01-03T23:57:21,567.89,Business,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00108,Hernandez-Contreras,I93,SEA,Nealport,JFK,East Ashley,2025-12-16T09:46:26,2026-01-28T02:48:21,582.1,Business,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00109,Dickerson-Horn,Z870,JFK,Cruzton,LAX,Maryport,2025-12-04T11:58:20,2026-01-18T23:26:10,357.23,Economy,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00110,Myers-Miller,U19,ORD,Combsmouth,SEA,Fosterburgh,2025-12-04T13:24:45,2026-01-05T05:22:41,215.73,Economy,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00111,Little-Gallagher,T0,SFO,West Sara,SFO,Annaborough,2025-12-04T07:07:32,2026-01-07T22:18:45,291.59,Economy,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
